username,waktu,teks_komentar,jumlah_likes,sumber_video
@YATSUP,6 months ago,sayang gada manual nya.. 😢,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@Minepixeler24,1 year ago,Keren sih di harga Rp300jt-an sudah dapat mobil sedan 👍.,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@moriz8338,1 year ago,"cakep ya, tp sedikit di jalan",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@hamdunht,1 year ago,"Empuk,enak buat bawa tamu",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@wawanerawan6466,1 year ago,Cek Harga & pajak tahunan nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@siCupuu,1 year ago,Mudah-mudahan harga jual Daihatsu juga tinggi setara Toyota ya. 😊,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@hyunji_kay_zura_07hyunji_08,1 year ago,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ricardoricardo2199,1 year ago,"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@Ayu-Wardhani,1 year ago,Gw udah pake tapi si Om nya nge review banyakan kata TAPI nya berarti negative. Kalo aku yg udah 4 bulan pake wokeh banget. Masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ariyopanji905,2 years ago,"Vios bukan bikin Daihatsu min,,,tapi Assb...",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@mr.reject6959,2 years ago,Anying toyota race mobil paan tuh,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@mr.reject6959,2 years ago,Latihan ngmong dlu bos. Bngung gw nangkep suara lu tiap ujung kalimat.,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@imcat8733,2 years ago,"kaum mendang mending seperti saya,kalo punya duit segtu lebih baik sih covic pajero dan masih bnyk pilihan lain walaupun dgn kondisi second",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@jualanyuk2023,2 years ago,Beli wuling Alvez saja sudah cukup. Kalau pingin enak ya pakai sopir penumpang tggl duduk makan dan tidur.,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ryankriswandana5180,2 years ago,keren sihh tp vios gen 3 udh bersyukur bgt bisa jadi kendaraan harian,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@ppprilo0o,2 years ago,olenggg mau vios ini atau city sedan😭😫😫,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@christophorusnicholasadria7648,2 years ago,TRD (Toyota Rakitan Daihatsu),0,https://youtube.com/watch?v=HR4ELY1Xm3w
@fajarrisman7031,2 years ago,Mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss,1,https://youtube.com/watch?v=HR4ELY1Xm3w
