username,waktu,teks_komentar,jumlah_likes,sumber_video,komentar_bersih
@YATSUP,6 months ago,sayang gada manual nya.. 😢,0,https://youtube.com/watch?v=HR4ELY1Xm3w,sayang gada manual nya.. 😢
@Minepixeler24,1 year ago,Keren sih di harga Rp300jt-an sudah dapat mobil sedan 👍.,1,https://youtube.com/watch?v=HR4ELY1Xm3w,keren sih di harga rp300jt-an sudah dapat mobil sedan 👍.
@moriz8338,1 year ago,"cakep ya, tp sedikit di jalan",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"cakep ya, tp sedikit di jalan"
@hamdunht,1 year ago,"Empuk,enak buat bawa tamu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"empuk,enak buat bawa tamu"
@wawanerawan6466,1 year ago,Cek Harga & pajak tahunan nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,cek harga & pajak tahunan nya
@siCupuu,1 year ago,Mudah-mudahan harga jual Daihatsu juga tinggi setara Toyota ya. 😊,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mudah-mudahan harga jual daihatsu juga tinggi setara toyota ya. 😊
@hyunji_kay_zura_07hyunji_08,1 year ago,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,0,https://youtube.com/watch?v=HR4ELY1Xm3w,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤
@ricardoricardo2199,1 year ago,"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"kalo selera saya, style eksterior nya lebih gagah vios gen 3. untuk yang terbaru gen 4 eksteriornya terkesan kurang halus  bahannya.  makanya saya tetap bertahan pake gen 3."
@Ayu-Wardhani,1 year ago,Gw udah pake tapi si Om nya nge review banyakan kata TAPI nya berarti negative. Kalo aku yg udah 4 bulan pake wokeh banget. Masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,gw udah pake tapi si om nya nge review banyakan kata tapi nya berarti negative. kalo aku yg udah 4 bulan pake wokeh banget. masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.
@ariyopanji905,2 years ago,"Vios bukan bikin Daihatsu min,,,tapi Assb...",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios bukan bikin daihatsu min,,,tapi assb..."
@mr.reject6959,2 years ago,Anying toyota race mobil paan tuh,0,https://youtube.com/watch?v=HR4ELY1Xm3w,anying toyota race mobil paan tuh
@mr.reject6959,2 years ago,Latihan ngmong dlu bos. Bngung gw nangkep suara lu tiap ujung kalimat.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,latihan ngmong dlu bos. bngung gw nangkep suara lu tiap ujung kalimat.
@imcat8733,2 years ago,"kaum mendang mending seperti saya,kalo punya duit segtu lebih baik sih covic pajero dan masih bnyk pilihan lain walaupun dgn kondisi second",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"kaum mendang mending seperti saya,kalo punya duit segtu lebih baik sih covic pajero dan masih bnyk pilihan lain walaupun dgn kondisi second"
@jualanyuk2023,2 years ago,Beli wuling Alvez saja sudah cukup. Kalau pingin enak ya pakai sopir penumpang tggl duduk makan dan tidur.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,beli wuling alvez saja sudah cukup. kalau pingin enak ya pakai sopir penumpang tggl duduk makan dan tidur.
@ryankriswandana5180,2 years ago,keren sihh tp vios gen 3 udh bersyukur bgt bisa jadi kendaraan harian,3,https://youtube.com/watch?v=HR4ELY1Xm3w,keren sihh tp vios gen 3 udh bersyukur bgt bisa jadi kendaraan harian
@ppprilo0o,2 years ago,olenggg mau vios ini atau city sedan😭😫😫,0,https://youtube.com/watch?v=HR4ELY1Xm3w,olenggg mau vios ini atau city sedan😭😫😫
@christophorusnicholasadria7648,2 years ago,TRD (Toyota Rakitan Daihatsu),0,https://youtube.com/watch?v=HR4ELY1Xm3w,trd (toyota rakitan daihatsu)
@fajarrisman7031,2 years ago,Mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss,1,https://youtube.com/watch?v=HR4ELY1Xm3w,mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss
@ngoprekaja1797,2 years ago (edited),"tipe ini lagi kena skandal tes crash, kenapa vios baru ga dibuat ama toyota langsung lagi 😒",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"tipe ini lagi kena skandal tes crash, kenapa vios baru ga dibuat ama toyota langsung lagi 😒"
@MakmurJaya-mi5qv,2 years ago,"Vios lawas kokoh ditikungan tidak oleng, yg baru belum pernah bawa",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios lawas kokoh ditikungan tidak oleng, yg baru belum pernah bawa"
@kholilurrohman2944,2 years ago,Sebenernya iya sebener nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,sebenernya iya sebener nya
@fadhil.nurilman,2 years ago,kemaren ketemu mobil ini hampir kegocek kirain civic,1,https://youtube.com/watch?v=HR4ELY1Xm3w,kemaren ketemu mobil ini hampir kegocek kirain civic
@wibowoadiwinata3766,2 years ago,klo namanya bukan vios. bklan lbih bnyk yg beli,0,https://youtube.com/watch?v=HR4ELY1Xm3w,klo namanya bukan vios. bklan lbih bnyk yg beli
@zonahiburan9632,2 years ago,Vios bukan lagi taxi 😎,1,https://youtube.com/watch?v=HR4ELY1Xm3w,vios bukan lagi taxi 😎
@dayanarung,2 years ago,Cocok untuk taksi online,1,https://youtube.com/watch?v=HR4ELY1Xm3w,cocok untuk taksi online
@fitrahagungsabdapamungkas1410,2 years ago,"Bahasa Design Toyota sekarang cakep bgt, Dikelasnya Vios lumayan oke proporsinya.",6,https://youtube.com/watch?v=HR4ELY1Xm3w,"bahasa design toyota sekarang cakep bgt, dikelasnya vios lumayan oke proporsinya."
@muhammadamirudin4839,2 years ago,Mau tanya deh. Tempatnya kaua kenal kaya di Bintaro atau BSD suasananya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mau tanya deh. tempatnya kaua kenal kaya di bintaro atau bsd suasananya
@channelnyasidul1593,2 years ago,Sedan paling reasonable,2,https://youtube.com/watch?v=HR4ELY1Xm3w,sedan paling reasonable
@vesperv.9458,2 years ago,mobil ga enak,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mobil ga enak
@ReaperSideGaming,2 years ago,"tunggu varian GR nya.. bakal Keren Abizzz, ga kalah sama AGYA GR",8,https://youtube.com/watch?v=HR4ELY1Xm3w,"tunggu varian gr nya.. bakal keren abizzz, ga kalah sama agya gr"
@tjetjepherdirukmana8248,2 years ago,"Duit 300an juta dulu kebeli Corolla Altis type V 2.000cc gen 2, sekarang dengan jumlah duit yang sama ""cuma"" kebeli Vios. Oh Inflasi.",7,https://youtube.com/watch?v=HR4ELY1Xm3w,"duit 300an juta dulu kebeli corolla altis type v 2.000cc gen 2, sekarang dengan jumlah duit yang sama ""cuma"" kebeli vios. oh inflasi."
@radenyoga9961,2 years ago,wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,3,https://youtube.com/watch?v=HR4ELY1Xm3w,wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw
@PeterBeckenbauer,2 years ago,"Come on, masa channel sekelas OtoDriver pake talent reviewer yang ga well groomed gini sih? Itu kuku jari - jari tangan ngeri amat.",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"come on, masa channel sekelas otodriver pake talent reviewer yang ga well groomed gini sih? itu kuku jari - jari tangan ngeri amat."
@PeterBeckenbauer,2 years ago,"Duit 300an juta dulu kebeli Camry XV30 awal - awal baru muncul, sekarang dengan jumlah duit yang sama ""cuma"" kebeli Vios. Oh inflasi.",84,https://youtube.com/watch?v=HR4ELY1Xm3w,"duit 300an juta dulu kebeli camry xv30 awal - awal baru muncul, sekarang dengan jumlah duit yang sama ""cuma"" kebeli vios. oh inflasi."
@fianrofiandi3732,2 years ago,Gatel bet liat kukunya,2,https://youtube.com/watch?v=HR4ELY1Xm3w,gatel bet liat kukunya
@EradigdayaSoundMachine,2 years ago,"head to head dengan MG, mending MG",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"head to head dengan mg, mending mg"
@arw5648,2 years ago (edited),"mkin bgs kekupekupean, lexus style",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"mkin bgs kekupekupean, lexus style"
@shony0303,2 years ago,Vios g 2011 nyimak,0,https://youtube.com/watch?v=HR4ELY1Xm3w,vios g 2011 nyimak
@CattyCimi,2 years ago,"Suaranya g jelas, hanya fitra eri saja yg enak membawakan sebuah review mobil",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"suaranya g jelas, hanya fitra eri saja yg enak membawakan sebuah review mobil"
@anggia.2573,2 years ago,"Avanza ber-ground clearance rendah, feel nyetir-nya plek ketiplek sama bgt beda posisi nyetir doank.. 😅",7,https://youtube.com/watch?v=HR4ELY1Xm3w,"avanza ber-ground clearance rendah, feel nyetir-nya plek ketiplek sama bgt beda posisi nyetir doank.. 😅"
@boy_92,2 years ago,Dan 300jt dulu setara 500jt skrg.,14,https://youtube.com/watch?v=HR4ELY1Xm3w,dan 300jt dulu setara 500jt skrg.
@abalabal6417,2 years ago, @boy_92  cukai pajak oknumnya yg bikin harga mobil naik 😀,8,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  cukai pajak oknumnya yg bikin harga mobil naik 😀
@KWB77,2 years ago,Tapi kan diiringi dgn UMR dan pendapatan yg meningkat jg. Jdi fine2 aja,9,https://youtube.com/watch?v=HR4ELY1Xm3w,tapi kan diiringi dgn umr dan pendapatan yg meningkat jg. jdi fine2 aja
@KWB77,2 years ago, @boy_92  klo mau bahas dlu sih bensin  jg dlu 4.500,9,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  klo mau bahas dlu sih bensin  jg dlu 4.500
@pasukanlangit2401,2 years ago,"Dulu jaman gw SD nasi kucing 100 perak, skrg di jakarta nasi kucing 2.500 😂
Ya wajar UMR jawa barat aja udah sampe 4jt, dibanding dulu cm ratusan ribu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"dulu jaman gw sd nasi kucing 100 perak, skrg di jakarta nasi kucing 2.500 😂
ya wajar umr jawa barat aja udah sampe 4jt, dibanding dulu cm ratusan ribu"
@robertkong4291,2 years ago," @boy_92  yaudah fokus kerja, nabung dan musti kreatif,  biar bisa cepet kebeli, kl ngeluh2 aja cuman buang2 waktu dan ga akan kebeli apa apa",3,https://youtube.com/watch?v=HR4ELY1Xm3w," @boy_92  yaudah fokus kerja, nabung dan musti kreatif,  biar bisa cepet kebeli, kl ngeluh2 aja cuman buang2 waktu dan ga akan kebeli apa apa"
@boy_92,2 years ago, @robertkong4291  bukan gw yg ngeluh. Tuh gw  ngomentari yg bilang 300jt dulu dapat lebih. Dan skrg cuma dapat vios. 300jt dulu disamain skrg,1,https://youtube.com/watch?v=HR4ELY1Xm3w, @robertkong4291  bukan gw yg ngeluh. tuh gw  ngomentari yg bilang 300jt dulu dapat lebih. dan skrg cuma dapat vios. 300jt dulu disamain skrg
@robertkong4291,2 years ago, @boy_92  mantab bos kl gt 👍,0,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  mantab bos kl gt 👍
@dimasagusmaulana9123,2 years ago,"Vios emang mahal dari dulu, mau murah ya limo haha",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios emang mahal dari dulu, mau murah ya limo haha"
@RajaKurcaci,2 years ago,"dan gw kaget... di Madinah duit 2.5 m bisa dapat Landcruiser baru + Voxy baru 

di indo, dapat landcruiser bekas..goodjob indoneaia",3,https://youtube.com/watch?v=HR4ELY1Xm3w,"dan gw kaget... di madinah duit 2.5 m bisa dapat landcruiser baru + voxy baru 

di indo, dapat landcruiser bekas..goodjob indoneaia"
@schen6852,2 years ago,"Zaman XV30 baru keluar UMR Jakarta aja masih 500an sekarang 5jt lebih, jelas mahalan 300jt dulu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"zaman xv30 baru keluar umr jakarta aja masih 500an sekarang 5jt lebih, jelas mahalan 300jt dulu"
@michaelbenjamin8981,2 years ago,kalau mikir perbandingan kayak gitu mending beli sepeda .. aja ..,0,https://youtube.com/watch?v=HR4ELY1Xm3w,kalau mikir perbandingan kayak gitu mending beli sepeda .. aja ..
@xborg7117,2 years ago,Di 100 tahun kedepan harga lcgc paling murah 1 miliar rupiah. 😂,0,https://youtube.com/watch?v=HR4ELY1Xm3w,di 100 tahun kedepan harga lcgc paling murah 1 miliar rupiah. 😂
