username,waktu,teks_komentar,jumlah_likes,sumber_video,case_folding,komentar_final,bigrams
@YATSUP,6 months ago,sayang gada manual nya.. 😢,0,https://youtube.com/watch?v=HR4ELY1Xm3w,sayang gada manual nya.. 😢,"['sayang', 'gada', 'manual']","[('sayang', 'gada'), ('gada', 'manual')]"
@Minepixeler24,1 year ago,Keren sih di harga Rp300jt-an sudah dapat mobil sedan 👍.,1,https://youtube.com/watch?v=HR4ELY1Xm3w,keren sih di harga rp300jt-an sudah dapat mobil sedan 👍.,"['keren', 'harga', 'mobil', 'sedan']","[('keren', 'harga'), ('harga', 'mobil'), ('mobil', 'sedan')]"
@moriz8338,1 year ago,"cakep ya, tp sedikit di jalan",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"cakep ya, tp sedikit di jalan","['cakep', 'sedikit', 'jalan']","[('cakep', 'sedikit'), ('sedikit', 'jalan')]"
@hamdunht,1 year ago,"Empuk,enak buat bawa tamu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"empuk,enak buat bawa tamu","['empuk', 'enak', 'buat', 'bawa', 'tamu']","[('empuk', 'enak'), ('enak', 'buat'), ('buat', 'bawa'), ('bawa', 'tamu')]"
@wawanerawan6466,1 year ago,Cek Harga & pajak tahunan nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,cek harga & pajak tahunan nya,"['cek', 'harga', 'pajak', 'tahun']","[('cek', 'harga'), ('harga', 'pajak'), ('pajak', 'tahun')]"
@siCupuu,1 year ago,Mudah-mudahan harga jual Daihatsu juga tinggi setara Toyota ya. 😊,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mudah-mudahan harga jual daihatsu juga tinggi setara toyota ya. 😊,"['mudah', 'mudah', 'harga', 'jual', 'daihatsu', 'tinggi', 'tara', 'toyota']","[('mudah', 'mudah'), ('mudah', 'harga'), ('harga', 'jual'), ('jual', 'daihatsu'), ('daihatsu', 'tinggi'), ('tinggi', 'tara'), ('tara', 'toyota')]"
@hyunji_kay_zura_07hyunji_08,1 year ago,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,0,https://youtube.com/watch?v=HR4ELY1Xm3w,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,"['tuhan', 'pantes', 'ayah', 'aku', 'ngomong', 'terus', 'terus', 'ken', 'mobil', 'vios', 'nyata', 'mobil', 'emamg', 'bagus', 'simpel', 'ganteng', 'mobil', 'lebih']","[('tuhan', 'pantes'), ('pantes', 'ayah'), ('ayah', 'aku'), ('aku', 'ngomong'), ('ngomong', 'terus'), ('terus', 'terus'), ('terus', 'ken'), ('ken', 'mobil'), ('mobil', 'vios'), ('vios', 'nyata'), ('nyata', 'mobil'), ('mobil', 'emamg'), ('emamg', 'bagus'), ('bagus', 'simpel'), ('simpel', 'ganteng'), ('ganteng', 'mobil'), ('mobil', 'lebih')]"
@ricardoricardo2199,1 year ago,"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"kalo selera saya, style eksterior nya lebih gagah vios gen 3. untuk yang terbaru gen 4 eksteriornya terkesan kurang halus  bahannya.  makanya saya tetap bertahan pake gen 3.","['kalau', 'selera', 'style', 'eksterior', 'lebih', 'gagah', 'vios', 'gen', 'baru', 'gen', 'eksterior', 'kes', 'kurang', 'halus', 'bahan', 'makanya', 'tetap', 'tahan', 'pake', 'gen']","[('kalau', 'selera'), ('selera', 'style'), ('style', 'eksterior'), ('eksterior', 'lebih'), ('lebih', 'gagah'), ('gagah', 'vios'), ('vios', 'gen'), ('gen', 'baru'), ('baru', 'gen'), ('gen', 'eksterior'), ('eksterior', 'kes'), ('kes', 'kurang'), ('kurang', 'halus'), ('halus', 'bahan'), ('bahan', 'makanya'), ('makanya', 'tetap'), ('tetap', 'tahan'), ('tahan', 'pake'), ('pake', 'gen')]"
@Ayu-Wardhani,1 year ago,Gw udah pake tapi si Om nya nge review banyakan kata TAPI nya berarti negative. Kalo aku yg udah 4 bulan pake wokeh banget. Masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,gw udah pake tapi si om nya nge review banyakan kata tapi nya berarti negative. kalo aku yg udah 4 bulan pake wokeh banget. masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,"['udah', 'pake', 'nge', 'review', 'banyak', 'kata', 'arti', 'negative', 'kalau', 'aku', 'udah', 'bulan', 'pake', 'wokeh', 'banget', 'masak', 'ganti', 'ganti', 'screen', 'kapan', 'malah', 'bahaya', 'kalau', 'nyupir', 'pencet', 'pencet', 'fokus', 'jadi']","[('udah', 'pake'), ('pake', 'nge'), ('nge', 'review'), ('review', 'banyak'), ('banyak', 'kata'), ('kata', 'arti'), ('arti', 'negative'), ('negative', 'kalau'), ('kalau', 'aku'), ('aku', 'udah'), ('udah', 'bulan'), ('bulan', 'pake'), ('pake', 'wokeh'), ('wokeh', 'banget'), ('banget', 'masak'), ('masak', 'ganti'), ('ganti', 'ganti'), ('ganti', 'screen'), ('screen', 'kapan'), ('kapan', 'malah'), ('malah', 'bahaya'), ('bahaya', 'kalau'), ('kalau', 'nyupir'), ('nyupir', 'pencet'), ('pencet', 'pencet'), ('pencet', 'fokus'), ('fokus', 'jadi')]"
@ariyopanji905,2 years ago,"Vios bukan bikin Daihatsu min,,,tapi Assb...",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios bukan bikin daihatsu min,,,tapi assb...","['vios', 'bukan', 'bikin', 'daihatsu', 'min', 'assb']","[('vios', 'bukan'), ('bukan', 'bikin'), ('bikin', 'daihatsu'), ('daihatsu', 'min'), ('min', 'assb')]"
